<span><font color="blue">găn</font></span> <span><font color="purple">mào</font></span>;感冒;noun common cold verb 1 catch cold 2 dialect be interested in. like (usu. used in the negative);[sound:gan3mao4.flac]
<span><font color="red">hēi</font></span>;黑;adjective 1 black (opp.;[sound:hei1.flac]
<span><font color="purple">jìn</font></span> <span><font color="green">xíng</font></span>;进行;verb 1 in progress. underway. proceed 2 carry on. carry out. conduct 3 be on the march. march. advance;[sound:jin4xing2.flac]
<span><font color="purple">zài</font></span> <span><font color="purple">cì</font></span>;再次;adverb once more. a second time. once again;[sound:zai4ci4.flac]
